Langue;Certificat;Niveau;Objectif Pro;Objectif aca;Objectif mobilité;informations
Allemand;BULATS;A1;professionnel;;;http://www.goethe.de/lrn/prj/pba/bes/bul/fr10303610.htm 
Allemand;BULATS;A2;professionnel;;;http://www.goethe.de/lrn/prj/pba/bes/bul/fr10303610.htm 
Allemand;BULATS;B1;professionnel;;;http://www.goethe.de/lrn/prj/pba/bes/bul/fr10303610.htm 
Allemand;BULATS;B2;professionnel;;;http://www.goethe.de/lrn/prj/pba/bes/bul/fr10303610.htm 
Allemand;BULATS;C1;professionnel;;;http://www.goethe.de/lrn/prj/pba/bes/bul/fr10303610.htm 
Allemand;BULATS;C2;professionnel;académique;;http://www.goethe.de/lrn/prj/pba/bes/bul/fr10303610.htm 
Allemand;CLES-1;B1;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Allemand;CLES-2;B2;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Allemand;CLES-3;C1;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Allemand;DCL;A2;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Allemand;DCL;B1;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Allemand;DCL;B2;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Allemand;DCL;C1;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Allemand;ECL A2;A2;professionnel;académique;mobilité;http://eclexam.eu/deutsch/testformat/ 
Allemand;ECL B1;B1;professionnel;académique;mobilité;http://eclexam.eu/deutsch/testformat/ 
Allemand;ECL B2;B2;professionnel;académique;mobilité;http://eclexam.eu/deutsch/testformat/ 
Allemand;ECL C1;C1;professionnel;académique;mobilité;http://eclexam.eu/deutsch/testformat/ 
Allemand;Goethe Zertifikat A1;A1;professionnel;académique;mobilité;https://www.goethe.de/de/spr/kup/prf/prf/gzsd1.html 
Allemand;Goethe Zertifikat A2;A2;professionnel;académique;mobilité;https://www.goethe.de/de/spr/kup/prf/prf/gzsd2.html 
Allemand;Goethe Zertifikat B1;B1;professionnel;académique;mobilité;https://www.goethe.de/de/spr/kup/prf/prf/gzb1.html 
Allemand;Goethe Zertifikat B2;B2;professionnel;académique;mobilité;https://www.goethe.de/de/spr/kup/prf/prf/gzb2.html 
